CellID, Experimenter, Species, Channel, CellType, Path, Status
490_1, OH, Mouse, ch2, DAFill, \002_150316B5_OH\002_150316B5MMP14SNcDA_OH, 1
491_1, OH, Mouse, ch2, DAFill, \002_150316B6_OH\002_150316B6MMP14SNcDA_OH, 1
492_1, OH, Mouse, ch2, DAFill, \002_150317A1_OH\002_150317A1MMP15SNcDA_OH, 1
493_1, OH, Mouse, ch2, DAFill, \002_150317A2_OH\002_150317A2MMP15SNcDA_OH, 1
494_1, OH, Mouse, ch2, DAFill, \002_150317A3_OH\002_150317A3MMP15SNcDA_OH, 1
495_1, OH, Mouse, ch2, DAFill, \002_150317A4_OH\002_150317A4MMP15SNcDA_OH, 1
496_1, OH, Mouse, ch2, DAFill, \002_150317B1_OH\002_150317B1MMP15SNcDA_OH, 1
497_1, OH, Mouse, ch2, DAFill, \002_150317B2_OH\002_150317B2MMP15SNcDA_OH, 1
498_1, OH, Mouse, ch2, DAFill, \002_150317B3_OH\002_150317B3MMP15SNcDA_OH, 1
499_1, OH, Mouse, ch2, DAFill, \002_150317B4_OH\002_150317B4MMP15SNcDA_OH, 1
500_1, OH, Mouse, ch2, DAFill, \002_150317B5_OH\002_150317B5MMP15SNcDA_OH, 1
501_1, OH, Mouse, ch2, DAFill, \002_150317B6_OH\002_150317B6MMP15SNcDA_OH, 1
502_1, OH, Mouse, ch2, DAFill, \002_150916A1_OH\002_150916A1MMP14SNcDA_OH, 1
503_1, OH, Mouse, ch2, DAFill, \002_150916B1_OH\002_150916B1MMP14SNcDA_OH, 1
504_1, OH, Mouse, ch2, DAFill, \002_150916B2_OH\002_150916B2MMP14SNcDA_OH, 1
505_1, OH, Mouse, ch2, DAFill, \002_150916B3_OH\002_150916B3MMP14SNcDA_OH, 1
506_1, OH, Mouse, ch2, DAFill, \002_150916C1_OH\002_150916C1MMP14SNcDA_OH, 1
507_1, OH, Mouse, ch2, DAFill, \002_150916C2_OH\002_150916C2MMP14SNcDA_OH, 1
508_1, OH, Mouse, ch2, DAFill, \002_150916C3_OH\002_150916C3MMP14SNcDA_OH, 1
509_1, OH, Mouse, ch2, DAFill, \002_150916C4_OH\002_150916C4MMP14SNcDA_OH, 1
510_1, OH, Mouse, ch2, DAFill, \002_150916D1_OH\002_150916D1MMP14SNcDA_OH, 1
511_1, OH, Mouse, ch2, DAFill, \002_150916D2_OH\002_150916D2MMP14SNcDA_OH, 1
512_1, OH, Mouse, ch2, DAFill, \002_150916D3_OH\002_150916D3MMP14SNcDA_OH, 1
513_1, OH, Mouse, ch2, DAFill, \002_150918A1_OH\002_150918A1MMP15SNcDA_OH, 1
